"Nome","Quantidade","Preço"
"Recoil Case","14,816","$2.61"
"Dreams & Nightmares Case","187,746","$0.83"
"Clutch Case","261,463","$0.32"
"Mann Co. Supply Crate Key","19,669","$2.26"
"Glove Case","29,186","$2.80"
"Antwerp 2022 Legends Sticker Capsule","398,512","$0.26"
"Warrior of the Stormlands Loading Screen","651","$0.03"
"Operation Breakout Weapon Case","11,749","$3.63"
"Fracture Case","281,529","$0.12"
"Chroma 3 Case","32,999","$0.75"
