"Nome","Preço"
"Baldur's Gate: Dark Alliance II",57.99
"TombStar",26.09
"COMPOUND",36.99
"Forza Horizon 5: Hot Wheels",79
"As Dusk Falls",119
"MultiVersus",119.99
"Stray",63.79
"Endling - Extinction is Forever",57.99
"Climber: Sky is the Limit - Free Trial",0
"Kanjozoku Game <U+30EC><U+30FC><U+30B5><U+30FC>",9.74
"House Party",42.74
"Toilet Chronicles",9.25
"PowerWash Simulator",74.9
"Stones Keeper: King Aurelius",0
"Escape Academy",37.99
"Rune Factory 5",249.95
"Urbek City Builder",32.99
"Kayak VR: Mirage",42.49
"Circadian Dice",12.39
"Occupy White Walls",0
"MADiSON",79.9
"Klonoa Phantasy Reverie Series",199.9
"Monster Hunter Rise: Sunbreak",169.9
"Tiny Tina's Wonderlands",299.9
"Tiny Tina's Wonderlands",299.9
"Raft",36.99
"The Looker",0
"Smithworks",0
"FINAL FANTASY VII REMAKE INTERGRADE",349.9
"Starship Troopers: Terran Command",57.99
"Neon White",51.99
"Teenage Mutant Ninja Turtles: Shredder's Revenge",94.99
"Monster Hunter Rise: Sunbreak Demo",0
"Chivalry 2",75.49
"Symphony of War: The Nephilim Saga",37.99
"The Quarry",0
"Server Owner Tycoon",57.99
"Lord of the Click 3",26.09
"Impact Point",36.99
"Beat Slug Hyperway",79
"Ultimate Soldier",119
"Hyperwheel Overdrive",119.99
"Topo Mix Game",63.79
"Toggle Cube",57.99
"Heir Obscure: A Hunt in the Dark",0
"Realms of Magic",9.74
"Harpoon",42.74
"Way to the cake",9.25
"Panzer Arena: Prologue",74.9
"Silent Seeker",0
"Baldur's Gate: Dark Alliance II",37.99
"TombStar",249.95
"River City Saga: Three Kingdoms",32.99
"Bunny Hop : Eggstreme",42.49
"Get Trolled",12.39
"DoDodge2020",0
"Primitier Soundtrack",79.9
"Desstroke",199.9
"Pico Link",169.9
"<U+5783><U+573E><U+6E38><U+620F>",299.9
"PARANECRO",299.9
"TheBeanstalk",36.99
"Escape Chase Zombie",0
"ALIEN XENOBLASTER",0
"<U+6293><U+7D27><U+6700><U+540E><U+4E00><U+6735>",349.9
"Ultra Mission™",57.99
"CrashCourse",51.99
"Sarissa and the Legendary Sword",94.99
"Hazel Sky Soundtrack",0
"Hazel Sky",75.49
"<U+7130><U+8272><U+65B9><U+7CD6> flamed sugar",37.99
"THE ORIGIN: Blind Maid Soundtrack",0
